Year,Quarter,GDP
2009,1,14430.902
2009,2,14381.236
2009,3,14448.882
2009,4,14651.249
2010,1,14764.610
2010,2,14980.193
2010,3,15141.607
2010,4,15309.474
2011,1,15351.448
2011,2,15557.539
2011,3,15647.680
2011,4,15842.259
2012,1,16068.805
2012,2,16207.115
2012,3,16319.541
2012,4,16420.419
2013,1,16648.189
2013,2,16728.687
2013,3,16953.838
2013,4,17192.019
2014,1,17197.738
2014,2,17518.508
2014,3,17804.228
2014,4,17912.079
2015,1,18063.529
2015,2,18279.784
2015,3,18401.626
2015,4,18435.137
2016,1,18525.933
2016,2,18711.702
2016,3,18892.639
2016,4,19089.379
2017,1,19280.084
2017,2,19438.643
2017,3,19692.595
2017,4,20037.088
2018,1,20328.553
2018,2,20580.912
2018,3,20798.730
2018,4,20917.867
2019,1,21111.600
2019,2,21397.938
2019,3,21717.171
2019,4,21933.217
2020,1,21751.238
2020,2,19958.291
2020,3,21704.437
2020,4,22087.160
2021,1,22680.693
2021,2,23425.910
2021,3,23982.379
2021,4,24813.600
2022,1,25250.347
2022,2,25861.292
2022,3,26336.304
2022,4,26770.514
2023,1,27216.445
2023,2,27530.055
2023,3,28074.846
2023,4,28424.722
2024,1,28708.161
2024,2,29147.044
2024,3,29511.664
2024,4,29825.182
2025,1,30042.113
2025,2,30485.729
2025,3,31098.027
2025,4,31442.483
