Year,Month,Monthly Nominal GDP Index (inMillion$),Monthly Real GDP Index (inMillion$),CPI,PartyInPower,unemployment rate,CommercialBankInterestRateonCreditCardPlans,"Finance Rate on Personal Loans at Commercial Banks, 24 Month Loan",Earnings or wages  in dollars per hour,Change(in%),Average upland planted(million acres),yieldperharvested acre,Production (in  480-lb netweright in million bales),Mill use  (in  480-lb netweright in million bales),Exports,MenClothing,OtherClothing,WomenClothing,holiday_count,total_events,unique_events,WomenClothing_lag1,WomenClothing_lag3,WomenClothing_lag12,MenClothing_lag1,MenClothing_lag3,MenClothing_lag12,OtherClothing_lag1,OtherClothing_lag3,OtherClothing_lag12,RollingMensClothing-3,RollingMensClothing-6,RollingWomensClothing-3,RollingWomensClothing-6,RollingOtherClothing-3,RollingOtherClothing-6,GDP-ROC,CPI-ROC,Unemployment-Change
2014,0.8660254037844387,16955.6086260419,15705.9726665754,259.596,0,6.6,11.85,10.22,24.35,3.97,10.206,807,12.551,3.58,9.75,,,,Federal HolidayFederal Holiday,2.0,2.0,4865.0,3590.0,2320.0,1085.0,785.0,599.0,1566.0,1126.0,1036.0,,,,,,,-0.0066056170784485335,0.008986178697470537,-0.10000000000000053
2014,0.5000000000000001,17028.5863480232,15762.5989199868,259.019,0,6.7,11.83,10.09,24.58,3.4,10.206,807,12.551,3.58,9.75,,,,EventFederal Holiday,2.0,2.0,,3834.0,2872.0,,798.0,560.0,,1209.0,1144.0,,,,,,,0.003605396151739715,-0.002222684478959569,0.10000000000000053
2014,6.123233995736766e-17,17109.7770258219,15804.5190679663,259.971,0,6.7,11.83,10.09,24.5,3.08,10.206,807,12.551,3.58,9.95,,,,0,0.0,0.0,,4865.0,3687.0,,1085.0,682.0,,1566.0,1346.0,,,,,,,0.0026594693040336015,0.0036754060512935727,0.0
2014,-0.49999999999999983,17208.8646835022,15870.1780534192,259.985,0,6.2,11.83,10.09,24.4,-2.84,10.206,787,12.234,3.58,9.975,,,,EventEvent,2.0,2.0,,,3883.0,,,718.0,,,1188.0,,,,,,,0.004154443749318615,5.385216043340968e-05,-0.5
2014,-0.8660254037844387,17345.3340279535,15946.7413358487,261.225,0,6.3,11.83,9.57,24.3,-1.58,10.206,802,12.275,3.58,9.675,,,,EventFederal Holiday,2.0,2.0,,,4170.0,,,749.0,,,1194.0,,,,,,,0.004824349302936959,0.004769505933034601,0.09999999999999964
2014,-1.0,17408.5642886561,15990.9774182691,261.35,0,6.1,11.83,9.57,24.42,-1.95,10.943,811,14.512,3.675,9.22,,,,Event,1.0,1.0,,,3360.0,,,678.0,,,1261.0,,,,,,,0.00277398883500779,0.0004785146904009441,-0.20000000000000018
2014,-0.8660254037844388,17551.7810654546,16089.4991872348,261.498,0,6.2,11.83,9.57,24.31,-7.77,11.191,804,15.955,3.775,9.72,,,,Federal Holiday,1.0,1.0,,,3320.0,,,648.0,,,1126.0,,,,,,,0.0061610848660909046,0.0005662904151519932,0.10000000000000053
2014,-0.5000000000000004,17684.6353487167,16196.4201317793,261.075,0,6.2,11.82,10.73,24.32,-11.74,11.191,808,16.946,3.775,10.15,,,,0,0.0,0.0,,,3539.0,,,687.0,,,1311.0,,,,,,,0.006645386739528192,-0.0016176031939059143,0.0
2014,-1.8369701987210297e-16,17630.3545858248,16133.04942679,261.074,0,5.9,11.82,10.73,24.5,-0.84,10.818,790,15.96,3.775,9.45,,,,Federal Holiday,1.0,1.0,,,3720.0,,,681.0,,,1043.0,,,,,,,-0.003912636525460256,-3.830316958608471e-06,-0.2999999999999998
2014,0.5000000000000001,17709.436966528,16196.8144741713,260.5,0,5.7,11.82,10.73,24.52,-4.14,10.818,776,15.677,3.775,9.45,,,,Federal HolidayEvent,2.0,2.0,,,3590.0,,,785.0,,,1126.0,,,,,,,0.0039524485231796636,-0.0021986103556846937,-0.20000000000000018
2014,0.8660254037844384,17765.3375697651,16243.0547343862,259.382,0,5.8,11.99,10.47,24.78,-3.99,10.818,783,15.819,3.775,9.45,,,,Federal HolidayFederal Holiday,2.0,2.0,,,3834.0,,,798.0,,,1209.0,,,,,,,0.0028548984300980074,-0.0042917466410747895,0.09999999999999964
2014,1.0,17733.0244635913,16221.1801252161,258.08,0,5.6,11.99,10.47,24.59,1.14,10.818,760,15.345,3.775,9.45,,,,EventFederal HolidayEvent,3.0,3.0,,,4865.0,,,1085.0,,,1566.0,,,,,,,-0.0013467053782556526,-0.005019623566785758,-0.20000000000000018
