,Year,Month,Monthly Nominal GDP Index (inMillion$),Monthly Real GDP Index (inMillion$),CPI,PartyInPower,unemployment rate,CommercialBankInterestRateonCreditCardPlans,"Finance Rate on Personal Loans at Commercial Banks, 24 Month Loan",Earnings or wages  in dollars per hour,Cotton Monthly Price - US cents per Pound(lbs),Change(in%),Average upland planted(million acres),Average upland harvested(million acres),yieldperharvested acre,Production (in  480-lb netweright in million bales),Mill use  (in  480-lb netweright in million bales),Exports,MenClothing,OtherClothing,WomenClothing,has_christmas,has_thanksgiving,has_mothers_day,has_fathers_day,has_valentines,has_easter,has_new_year,is_q4,is_holiday_season,is_back_to_school,is_spring_shopping,is_summer,is_winter,temp_avg,temp_high_max,temp_low_min,precip_total,humidity_avg,snow_days,rain_days,visibility,wind,temp_range,Month_sin,Month_cos,WomenClothing_lag1,WomenClothing_lag2,WomenClothing_lag3,WomenClothing_lag6,WomenClothing_lag12,WomenClothing_lag24,MenClothing_lag1,MenClothing_lag2,MenClothing_lag3,MenClothing_lag6,MenClothing_lag12,MenClothing_lag24,OtherClothing_lag1,OtherClothing_lag2,OtherClothing_lag3,OtherClothing_lag6,OtherClothing_lag12,OtherClothing_lag24,total_clothing,women_share,other_share,men_share,GDP-ROC,CPI-ROC,Unemployment-Change
60,2014,1,16955.6086260419,15705.9726665754,259.596,0,6.6,11.85,10.22,24.35,90.96,3.97,10.206,7.465,807,12.551,3.58,9.75,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,1,-1.7666666666666666,14.0,-16.0,59.97,59.43333333333333,5,6,13.090909090909092,10.681818181818182,30.0,0.49999999999999994,0.8660254037844387,4865.0,3834.0,3590.0,3320.0,2320.0,2287.0,1085.0,798.0,785.0,648.0,599.0,525.0,1566.0,1209.0,1126.0,1126.0,1036.0,1039.0,0.0,,,,-0.0066056170784485335,0.008986178697470537,-0.10000000000000053
61,2014,2,17028.5863480232,15762.5989199868,259.019,0,6.7,11.83,10.09,24.58,94.05,3.4,10.206,7.465,807,12.551,3.58,9.75,,,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,1,0.2857142857142857,13.0,-11.0,139.20000000000002,58.714285714285715,8,7,12.357142857142858,10.25,24.0,0.8660254037844386,0.5000000000000001,,4865.0,3834.0,3539.0,2872.0,2800.0,,1085.0,798.0,687.0,560.0,545.0,,1566.0,1209.0,1311.0,1144.0,1134.0,0.0,,,,0.003605396151739715,-0.002222684478959569,0.10000000000000053
62,2014,3,17109.7770258219,15804.5190679663,259.971,0,6.7,11.83,10.09,24.5,96.95,3.08,10.206,7.465,807,12.551,3.58,9.95,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,2.806451612903226,19.0,-13.0,89.19,47.32258064516129,2,6,14.774193548387096,11.419354838709678,32.0,1.0,6.123233995736766e-17,,,4865.0,3720.0,3687.0,3566.0,,,1085.0,681.0,682.0,623.0,,,1566.0,1043.0,1346.0,1229.0,0.0,,,,0.0026594693040336015,0.0036754060512935727,0.0
63,2014,4,17208.8646835022,15870.1780534192,259.985,0,6.2,11.83,10.09,24.4,94.2,-2.84,10.206,7.465,787,12.234,3.58,9.975,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,1,0,0,11.466666666666667,25.0,-1.0,77.21000000000001,53.53333333333333,3,12,14.7,10.133333333333333,26.0,0.8660254037844387,-0.49999999999999983,,,,3590.0,3883.0,3724.0,,,,785.0,718.0,711.0,,,,1126.0,1188.0,1136.0,0.0,,,,0.004154443749318615,5.385216043340968e-05,-0.5
64,2014,5,17345.3340279535,15946.7413358487,261.225,0,6.3,11.83,9.57,24.3,92.71,-1.58,10.206,7.345,802,12.275,3.58,9.675,,,,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,17.612903225806452,30.0,5.0,236.0,59.96774193548387,0,12,12.709677419354838,7.290322580645161,25.0,0.49999999999999994,-0.8660254037844387,,,,3834.0,4170.0,3800.0,,,,798.0,749.0,725.0,,,,1209.0,1194.0,1155.0,0.0,,,,0.004824349302936959,0.004769505933034601,0.09999999999999964
65,2014,6,17408.5642886561,15990.9774182691,261.35,0,6.1,11.83,9.57,24.42,90.9,-1.95,10.943,8.594,811,14.512,3.675,9.22,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,0,1,0,22.4,32.0,13.0,109.48,62.6,0,10,13.633333333333333,6.633333333333334,19.0,1.2246467991473532e-16,-1.0,,,,4865.0,3360.0,3086.0,,,,1085.0,678.0,703.0,,,,1566.0,1261.0,1205.0,0.0,,,,0.00277398883500779,0.0004785146904009441,-0.20000000000000018
66,2014,7,17551.7810654546,16089.4991872348,261.498,0,6.2,11.83,9.57,24.31,83.84,-7.77,11.191,8.594,804,15.955,3.775,9.72,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,24.677419354838708,33.0,17.0,142.02,63.96774193548387,0,11,13.96774193548387,11.709677419354838,16.0,-0.4999999999999998,-0.8660254037844388,,,,,3320.0,2877.0,,,,,648.0,613.0,,,,,1126.0,1049.0,0.0,,,,0.0061610848660909046,0.0005662904151519932,0.10000000000000053
67,2014,8,17684.6353487167,16196.4201317793,261.075,0,6.2,11.82,10.73,24.32,74.0,-11.74,11.191,10.065,808,16.946,3.775,10.15,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,23.612903225806452,32.0,16.0,41.39,60.354838709677416,0,6,15.064516129032258,6.0,16.0,-0.8660254037844384,-0.5000000000000004,,,,,3539.0,3059.0,,,,,687.0,650.0,,,,,1311.0,1124.0,0.0,,,,0.006645386739528192,-0.0016176031939059143,0.0
68,2014,9,17630.3545858248,16133.04942679,261.074,0,5.9,11.82,10.73,24.5,73.38,-0.84,10.818,9.692,790,15.96,3.775,9.45,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,21.366666666666667,33.0,11.0,46.49,62.4,0,7,14.833333333333334,6.633333333333334,22.0,-1.0,-1.8369701987210297e-16,,,,,3720.0,3113.5,,,,,681.0,687.0,,,,,1043.0,1045.0,0.0,,,,-0.003912636525460256,-3.830316958608471e-06,-0.2999999999999998
69,2014,10,17709.436966528,16196.8144741713,260.5,0,5.7,11.82,10.73,24.52,70.34,-4.14,10.818,9.692,776,15.677,3.775,9.45,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0,15.741935483870968,25.0,6.0,145.31,63.193548387096776,0,14,14.419354838709678,8.129032258064516,19.0,-0.8660254037844386,0.5000000000000001,,,,,3590.0,3168.0,,,,,785.0,710.0,,,,,1126.0,1158.0,0.0,,,,0.0039524485231796636,-0.0021986103556846937,-0.20000000000000018
70,2014,11,17765.3375697651,16243.0547343862,259.382,0,5.8,11.99,10.47,24.78,67.53,-3.99,10.818,9.692,783,15.819,3.775,9.45,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,7.533333333333333,21.0,-6.0,115.83,54.86666666666667,2,8,14.266666666666667,8.8,27.0,-0.5000000000000004,0.8660254037844384,,,,,3834.0,3558.0,,,,,798.0,731.0,,,,,1209.0,1252.0,0.0,,,,0.0028548984300980074,-0.0042917466410747895,0.09999999999999964
71,2014,12,17733.0244635913,16221.1801252161,258.08,0,5.6,11.99,10.47,24.59,68.3,1.14,10.818,9.692,760,15.345,3.775,9.45,,,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,0,0,0,1,5.225806451612903,18.0,-4.0,153.43,64.70967741935483,3,15,13.193548387096774,10.838709677419354,22.0,-2.4492935982947064e-16,1.0,,,,,4865.0,4824.0,,,,,1085.0,1080.0,,,,,1566.0,1475.0,0.0,,,,-0.0013467053782556526,-0.005019623566785758,-0.20000000000000018
